epoch,phase,accuracy,loss,val_accuracy,val_loss,learning_rate
1,initial,0.5286269187927246,1.2498629093170166,0.688601016998291,0.7915540337562561,9.999999747378752e-05
2,initial,0.6913212537765503,0.8245208859443665,0.7507771849632263,0.654130220413208,9.999999747378752e-05
3,initial,0.7244818806648254,0.730640709400177,0.7751295566558838,0.5950501561164856,9.999999747378752e-05
4,initial,0.7638601064682007,0.6336342096328735,0.7937824130058289,0.5430756211280823,9.999999747378752e-05
5,initial,0.7796632051467896,0.5866178274154663,0.8139896392822266,0.48327821493148804,9.999999747378752e-05
6,initial,0.7908031344413757,0.5496472120285034,0.830051839351654,0.4561598002910614,9.999999747378752e-05
7,initial,0.806217610836029,0.5242764353752136,0.8404145240783691,0.4233943223953247,9.999999747378752e-05
8,initial,0.810362696647644,0.4993762671947479,0.8450776934623718,0.4025506377220154,9.999999747378752e-05
9,initial,0.8207253813743591,0.4788955748081207,0.8450776934623718,0.39737868309020996,9.999999747378752e-05
10,initial,0.8310880661010742,0.45044517517089844,0.8585492372512817,0.3690202236175537,9.999999747378752e-05
11,initial,0.8408030867576599,0.42237943410873413,0.8575129508972168,0.37476685643196106,9.999999747378752e-05
12,initial,0.8386010527610779,0.41926100850105286,0.8709844350814819,0.3534887135028839,9.999999747378752e-05
13,initial,0.852072536945343,0.3936983644962311,0.8663212656974792,0.3438057601451874,9.999999747378752e-05
14,initial,0.8497409224510193,0.3898411989212036,0.8683937788009644,0.34146276116371155,9.999999747378752e-05
15,initial,0.8584197163581848,0.3790542483329773,0.878238320350647,0.31610238552093506,9.999999747378752e-05
16,initial,0.8663212656974792,0.36964190006256104,0.8792746067047119,0.31566768884658813,9.999999747378752e-05
17,initial,0.8610103726387024,0.3671383857727051,0.8870466351509094,0.299319326877594,9.999999747378752e-05
18,initial,0.8612694144248962,0.36592480540275574,0.8787564635276794,0.30682167410850525,9.999999747378752e-05
19,initial,0.8720207214355469,0.3385743796825409,0.885492205619812,0.2922655940055847,9.999999747378752e-05
20,initial,0.8733160495758057,0.3277656137943268,0.885492205619812,0.29662150144577026,9.999999747378752e-05
21,initial,0.8783679008483887,0.3237566351890564,0.8886010646820068,0.28624603152275085,9.999999747378752e-05
22,initial,0.8806994557380676,0.31199464201927185,0.8860103487968445,0.2885874807834625,9.999999747378752e-05
23,initial,0.875,0.3169221878051758,0.8999999761581421,0.27028828859329224,9.999999747378752e-05
24,initial,0.8831606507301331,0.3116922676563263,0.9031088352203369,0.261766642332077,9.999999747378752e-05
25,initial,0.8895077705383301,0.2955472767353058,0.897927463054657,0.2768527865409851,9.999999747378752e-05
26,initial,0.8853626847267151,0.3009297251701355,0.8999999761581421,0.26357078552246094,9.999999747378752e-05
27,initial,0.8906735777854919,0.28844887018203735,0.9036269187927246,0.25962889194488525,2.9999999242136255e-05
28,initial,0.8924870491027832,0.275966078042984,0.9041450619697571,0.2580069601535797,2.9999999242136255e-05
29,initial,0.8932642340660095,0.283705472946167,0.9046632051467896,0.2580832242965698,2.9999999242136255e-05
30,initial,0.8926165699958801,0.28199687600135803,0.9082901477813721,0.2574634253978729,2.9999999242136255e-05
31,fine_tuning,0.7981865406036377,0.5199334621429443,0.8694300651550293,0.3366759717464447,9.999999747378752e-06
32,fine_tuning,0.8257771730422974,0.46307608485221863,0.8678756356239319,0.3500722646713257,9.999999747378752e-06
33,fine_tuning,0.8417098522186279,0.4215242266654968,0.8678756356239319,0.346636563539505,2.9999998787388904e-06
34,fine_tuning,0.8413212299346924,0.41842079162597656,0.8673574924468994,0.34310805797576904,2.9999998787388904e-06
35,fine_tuning,0.8462435007095337,0.4051129221916199,0.8689119219779968,0.34246858954429626,8.999999749903509e-07
36,fine_tuning,0.852072536945343,0.3922358751296997,0.8673574924468994,0.3409709930419922,8.999999749903509e-07
